id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
1,1,4,5,4,1,4,1,5,0,3,4,2,0,0,5,5,5,5,1,4
2,5,2,2,3,1,2,0,2,5,4,5,3,3,2,1,2,4,0,3,2
3,2,1,5,5,1,4,0,4,1,5,1,3,3,0,2,0,4,3,5,0
4,3,0,5,4,0,5,0,5,1,3,4,5,1,0,4,2,1,2,2,3
5,2,2,4,4,0,4,5,0,2,1,0,3,3,3,5,4,5,3,3,1
6,2,2,4,5,2,5,4,5,2,3,4,4,0,1,1,2,3,4,3,0
7,3,3,4,4,1,4,4,5,1,4,4,5,2,3,4,2,4,0,1,3
8,1,5,5,5,2,4,1,5,3,2,4,1,2,0,2,4,5,1,0,1
9,2,1,3,2,5,1,0,0,3,2,3,2,3,2,2,2,1,3,3,4
10,2,0,5,5,0,4,3,5,0,5,5,1,1,2,3,0,4,0,4,2
11,3,3,5,5,1,5,3,4,0,5,4,4,1,3,3,4,0,3,0,4
12,2,3,4,5,1,4,1,0,5,5,5,2,3,2,2,1,2,2,4,0
13,3,5,5,5,1,4,1,5,0,1,3,5,4,2,3,5,5,3,1,0
14,2,3,2,5,2,0,0,3,0,1,0,2,3,1,0,1,1,2,4,3
15,1,0,4,3,3,5,3,5,0,0,2,4,3,3,3,1,5,1,3,3
16,3,1,5,5,3,5,5,4,2,4,4,4,3,2,3,2,5,3,1,4
17,1,3,3,2,1,4,5,4,1,5,2,0,3,0,1,1,0,0,3,3
18,1,1,5,1,0,3,2,4,1,1,2,3,2,2,1,0,3,3,0,2
19,3,4,2,4,3,3,2,0,3,1,0,4,5,3,5,4,4,3,2,1
20,1,0,1,0,0,3,3,4,5,3,1,3,2,3,0,3,5,5,2,0
21,1,1,4,3,2,1,0,5,2,1,3,0,4,3,1,0,5,3,0,3
22,3,2,5,4,0,5,4,4,3,2,5,4,0,1,3,2,4,4,5,4
23,3,1,3,4,2,1,3,4,0,2,3,2,3,0,4,3,4,4,3,2
24,2,0,4,0,1,4,2,5,5,1,2,3,3,0,0,3,5,3,2,3
25,0,0,5,4,3,1,5,3,1,1,2,2,2,2,0,0,4,2,1,1
26,3,0,4,4,3,5,2,4,1,4,5,5,1,1,5,0,0,3,4,5
27,1,3,5,4,2,4,1,2,1,3,5,4,5,0,2,1,1,0,1,0
28,3,1,5,5,1,5,2,5,1,0,4,5,1,3,1,2,5,5,5,4
29,1,2,2,5,0,0,4,2,3,1,0,2,1,3,2,2,0,5,2,3
30,1,0,5,5,1,4,1,4,1,2,4,3,1,2,1,5,1,5,1,1
31,0,2,0,2,0,4,4,0,5,2,2,2,3,1,1,5,3,0,1,1
32,0,3,4,1,2,1,1,4,3,5,4,4,0,3,1,1,0,0,1,1
33,2,2,4,2,1,0,1,5,3,5,5,1,2,0,4,1,2,3,0,0
34,1,5,5,4,1,4,5,5,1,2,1,5,0,0,5,4,2,4,2,0
35,2,3,4,2,1,2,2,4,1,1,0,0,1,3,1,2,0,3,3,2
36,3,4,4,5,1,0,1,1,3,4,0,4,1,2,5,3,1,0,3,2
37,1,3,4,4,1,0,5,5,4,1,5,1,1,0,4,5,4,4,3,0
38,2,3,4,1,3,3,1,3,5,3,5,0,5,1,2,4,5,0,0,1
39,2,0,2,3,0,4,1,4,1,1,2,4,3,3,1,4,4,5,5,2
40,0,5,4,5,0,5,4,5,5,5,3,5,3,3,4,5,5,4,3,2
41,0,0,5,2,2,3,0,3,2,3,2,3,4,3,2,1,0,3,3,2
42,3,5,4,5,2,4,5,5,0,5,5,4,3,0,3,1,4,5,1,3
43,1,3,0,5,1,3,2,5,2,0,5,1,3,1,1,4,2,4,3,3
44,2,0,5,5,2,4,2,2,2,0,3,1,3,0,3,0,5,3,0,3
45,2,3,3,5,3,3,0,5,0,1,1,1,0,2,3,1,3,4,1,0
46,1,3,4,1,0,1,3,0,1,2,2,2,3,1,2,2,1,1,3,0
47,3,3,4,4,0,5,1,5,1,0,0,4,1,1,3,3,3,5,0,2
48,0,3,1,5,2,3,1,5,0,3,0,0,3,3,2,1,4,1,1,1
49,3,2,0,4,0,5,3,2,0,0,1,4,0,1,1,2,1,0,0,2
50,1,5,0,0,2,5,5,4,5,4,4,4,0,2,0,3,4,5,1,1
